Name,Handedness,Weight(kg),Height(cm),BMI,Batting Average,Home Runs
Stefan Wever,R,80,245,13.32778009,0,0
Dave Lemanczyk,R,76,235,13.76188321,0,0
Dave Frost,R,78,235,14.12403803,0,0
Mike Epstein,L,75,230,14.17769376,0.244,130
Boog Powell,L,76,230,14.36672968,0.266,339
Steve Renko,R,77,230,14.5557656,0.215,6
John Ellis,R,74,225,14.61728395,0.262,69
Gates Brown,L,71,220,14.66942149,0.257,84
Ben Callahan,R,79,230,14.93383743,0,0
Greg Luzinski,R,73,220,15.08264463,0.276,307
Walt Bond,L,79,228,15.19698369,0.256,41
Bryan Clutterbuck,R,76,223,15.28283295,0,0
Don Leppert,R,74,220,15.2892562,0.229,15
Rick Henninger,R,78,225,15.40740741,0,0
Bob Ferris,R,78,225,15.40740741,0,0
Bruce Tanner,L,75,220,15.49586777,0,0
Willie Aikens,L,75,220,15.49586777,0.271,110
Joe Foy,R,72,215,15.57598702,0.248,58
Willie Mueller,R,76,220,15.70247934,0,0
Johnny Edwards,L,76,220,15.70247934,0.242,81
Kevin Mmahat,L,77,220,15.90909091,0,0
Curt Wardle,L,77,220,15.90909091,0,0
Fran Healy,R,77,220,15.90909091,0.25,20
Mark Mercer,L,77,220,15.90909091,0,0
Tom Egan,R,76,218,15.99191987,0.2,22
Jeff Newman,R,74,215,16.00865333,0.224,63
Mark Smith,R,74,215,16.00865333,0,0
Lamar Johnson,R,74,215,16.00865333,0.287,64
Doc Edwards,R,74,215,16.00865333,0.238,15
Ray Fosse,R,74,215,16.00865333,0.256,61
Dave Nicholson,R,74,215,16.00865333,0.212,61
Dave Roberts,R,75,215,16.22498648,0.239,49
Charlie Spikes,R,75,215,16.22498648,0.246,65
John Mayberry,L,75,215,16.22498648,0.253,255
John Orsino,R,75,215,16.22498648,0.249,40
Brant Alyea,R,75,215,16.22498648,0.247,38
Earl Williams,R,75,215,16.22498648,0.247,138
J.R. Richard,R,80,222,16.23244866,0.168,10
Willie Horton,R,71,209,16.25420663,0.273,325
Tony Solaita,L,72,210,16.32653061,0.255,50
Tony Cloninger,R,72,210,16.32653061,0.192,11
Larry Dierker,R,76,215,16.44131963,0.136,4
Randy Nosek,R,76,215,16.44131963,0,0
Tom Paciorek,R,76,215,16.44131963,0.282,86
Cliff Johnson,R,76,215,16.44131963,0.258,196
Dave Hostetler,R,76,215,16.44131963,0.229,37
Joe Torre,R,74,212,16.46493414,0.297,252
Steve Ellsworth,R,80,220,16.52892562,0,0
Burt Hooton,R,73,210,16.55328798,0.123,4
Mark Brouhard,R,73,210,16.55328798,0.259,25
Steve Curry,R,78,217,16.56437809,0,0
Britt Burns,L,77,215,16.65765279,0,0
Tim Laudner,R,75,212,16.68743325,0.225,77
Ken Phelps,L,73,209,16.71207161,0.239,123
Wayne Gross,L,74,210,16.78004535,0.233,121
Gorman Thomas,R,74,210,16.78004535,0.225,268
Rick Anderson,R,74,210,16.78004535,0,0
Bob Brenly,R,74,210,16.78004535,0.247,91
Terry Wilshusen,R,74,210,16.78004535,0,0
Mike Jones,L,78,215,16.87398594,0,0
Ron Reed,R,78,215,16.87398594,0.158,0
Sam Hinds,R,78,215,16.87398594,0,0
Bud Anderson,R,75,210,17.00680272,0,0
Dave Engle,R,75,210,17.00680272,0.262,31
Tony Horton,R,75,210,17.00680272,0.268,76
Craig Kusick,R,75,210,17.00680272,0.235,46
John Bateman,R,75,210,17.00680272,0.23,81
Rick Reichardt,R,75,210,17.00680272,0.261,116
Jerry Moses,R,75,210,17.00680272,0.251,25
Jeff Jones,R,75,210,17.00680272,0,0
Doug Rader,R,74,208,17.10428994,0.251,155
Pat Putnam,L,72,205,17.13265913,0.255,63
Alex Johnson,R,72,205,17.13265913,0.288,78
Ken Singleton,B,76,210,17.23356009,0.282,246
Mike Loynd,R,76,210,17.23356009,0,0
Bill Moran,R,76,210,17.23356009,0,0
Bob Kammeyer,R,76,210,17.23356009,0,0
Glenn Borgmann,R,76,210,17.23356009,0.229,16
Mike Parrott,R,76,210,17.23356009,0,0
Len Gabrielson,L,76,210,17.23356009,0.253,37
Steve Carlton,L,76,210,17.23356009,0.201,13
Dave Revering,L,76,210,17.23356009,0.265,62
Al Jones,R,76,210,17.23356009,0,0
Mike Smithson,L,80,215,17.30665224,0,0
Cardell Camper,R,75,208,17.33542899,0,0
Bob Veale,B,78,212,17.35493058,0.114,0
Bob Galasso,L,73,205,17.37061273,0,0
Donn Clendenon,R,76,209,17.39886907,0.274,159
Barry Cort,R,77,210,17.46031746,0,0
Bob Babcock,R,77,210,17.46031746,0,0
John Poloni,L,77,210,17.46031746,0,0
Jeff Holly,L,77,210,17.46031746,0,0
Steve Huntz,B,73,204,17.54133026,0.206,16
Mike Ryan,R,74,205,17.60856633,0.193,28
Jerry Koosman,R,74,205,17.60856633,0.119,2
Steve Swisher,R,74,205,17.60856633,0.216,20
Larry Biittner,L,74,205,17.60856633,0.273,29
Mitchell Page,L,74,205,17.60856633,0.266,72
Wayne Nordhagen,R,74,205,17.60856633,0.282,39
Steve Senteney,R,74,205,17.60856633,0,0
John Wathan,R,74,205,17.60856633,0.262,21
Champ Summers,L,74,205,17.60856633,0.255,54
Joe Charboneau,R,74,205,17.60856633,0.266,29
Mike Willis,L,74,205,17.60856633,0,0
Dave Kingman,R,78,210,17.68707483,0.236,442
Steve Adkins,R,78,210,17.68707483,0,0
Jack Lazorko,R,71,200,17.75,0,0
Carlos May,L,71,200,17.75,0.274,90
Bob Watson,R,72,201,17.82134106,0.295,184
John Trautwein,R,75,205,17.84651993,0,0
Marc Hill,R,75,205,17.84651993,0.223,34
Ed Kranepool,L,75,205,17.84651993,0.261,118
Andy Beene,R,75,205,17.84651993,0,0
Gary Roenicke,R,75,205,17.84651993,0.247,121
Bruce Bochy,R,75,205,17.84651993,0.239,26
Andy Kosco,R,75,205,17.84651993,0.236,73
Gary Wheelock,R,75,205,17.84651993,0,0
Don Mincher,L,75,205,17.84651993,0.249,200
Mike Ivie,R,75,205,17.84651993,0.269,81
Frank Dimichele,R,75,205,17.84651993,0,0
Jerry Narron,L,75,205,17.84651993,0.211,21
Greg Walker,L,75,205,17.84651993,0.26,113
Don Kainer,R,75,205,17.84651993,0,0
Barry Foote,R,75,205,17.84651993,0.23,57
Bob Oliver,R,75,205,17.84651993,0.256,94
Jim Barr,R,75,205,17.84651993,0.162,1
Larry Pashnick,R,75,205,17.84651993,0,0
Gail Hopkins,L,70,198,17.85532089,0.266,25
Darryl Motley,R,69,196,17.96126614,0.243,44
Dick Bertell,R,72,200,18,0.25,10
Carmen Fanzone,R,72,200,18,0.224,20
Bill Fahey,L,72,200,18,0.241,7
Ron Jackson,R,72,200,18,0.259,56
Carl Morton,R,72,200,18,0.156,7
Ray Culp,R,72,200,18,0.123,1
Ron LeFlore,R,72,200,18,0.288,59
Brian Denman,R,76,205,18.08447353,0,0
Gary Beare,R,76,205,18.08447353,0,0
